,subject,age,sex,slope_SO,slope_MG,slope_LG,sex_coded
0,sub01,37.0,F,16.633094303247344,15.740961756501243,15.06824999743577,1
1,sub02,21.0,M,12.75974298136579,15.233957169840833,10.450170692657473,0
2,sub03,19.0,F,8.742817895976517,35.48135167917372,9.775239082044319,1
3,sub04,41.0,M,7.146619414227576,9.049420066917746,11.17170693522665,0
4,sub05,22.0,M,4.805632980765051,6.604898668082178,4.162396333376182,0
5,sub06,28.0,M,8.207253946447121,14.261776714244355,12.193020549836445,0
6,sub07,27.0,F,4.089671475850125,10.51786310834631,6.622357138134928,1
7,sub08,25.0,F,3.465174971837484,5.384830771725596,9.021260762210535,1
8,sub09,21.0,M,5.977490621629633,12.561526154047066,10.898901713572258,0
9,sub10,48.0,M,13.641958801027359,32.43391600087222,23.4678758982475,0
10,sub11,23.0,M,4.633843165026074,4.765864095502426,8.117674595747136,0
11,sub12,21.0,F,36.42563771481846,22.550229626386834,13.08037001856707,1
12,sub13,29.0,M,9.248633469045002,16.544484291414125,14.510332525654569,0
13,sub14,22.0,M,21.60155353813968,14.966051135095137,14.900335250733612,0
14,sub15,22.0,M,10.147744254697272,8.792962456519028,8.805207960740674,0
15,sub16,25.0,F,6.12982828653715,19.850915500222825,12.950965784259985,1
16,sub17,22.0,M,10.334530237212508,16.10716319780803,11.082558015115715,0
17,sub18,26.0,M,25.980933666132703,75.93677200639192,69.64757832092631,0
18,sub19,64.0,M,5.4555198955107445,5.987688913205878,8.81045477424752,0
19,sub20,32.0,M,6.857095680671598,11.01518353127306,15.049358325609566,0
20,sub21,29.0,M,7.769976252767676,12.972187099301912,8.401487121451352,0
21,sub22,24.0,M,13.114764411192025,14.338626388513722,18.11836041525707,0
22,sub23,32.0,M,5.987745112017983,19.28673754548246,11.042425637839482,0
23,sub24,24.0,F,3.2407504657783925,9.647945085512758,6.85059808077252,1
24,sub25,40.0,M,12.814721294257792,6.4576500755116895,6.858987241072696,0
